timepoints,"[0.0, 2.1675, 4.148055555555556, 19.394444444444446, 22.79083333333333]"
media_met+,"[[[0.04096666599313418, 0.040999999890724816, 0.04059999932845434, 0.04150000090400378, 0.041666666666666664], [27.333333333333332, 25.333333333333332, 25.666666666666668, 26.0, 26.0], [667.3257006460204, 617.9678725617198, 632.2153477725981, 628.0561475891058, 624.8010845324412]], [[0.00024944340204662653, 0.0002449485581771385, 0.000432050370432033, 0.00120830480569304, 0.001510702623198444], [1.247219128924647, 0.4714045207910317, 0.4714045207910317, 1.632993161855452, 0.0], [32.577436105714426, 14.855592123081676, 11.44109223841353, 55.821387719359194, 22.094899993366152]], [[0.60889358701641, 0.5974355093414323, 1.0641634915723566, 2.91157778161992, 3.625686295676266], [4.5629968131389536, 1.8608073189119674, 1.8366409900949283, 6.280742930213277, 0.0], [4.8817895180984445, 2.4039424673485703, 1.8096827732389666, 8.887961360403612, 3.536309481584923]]]"
media_met-,"[[[0.0411000003417333, 0.040766666332880654, 0.04020000000794729, 0.04196666677792867, 0.04633333285649618], [30.333333333333332, 26.666666666666668, 26.333333333333332, 28.0, 34.666666666666664], [738.354490026973, 654.540108355328, 654.9485664395753, 668.5097922137802, 736.7234532417889]], [[0.00037416576682085576, 0.0005249329665453137, 0.0006683303056773165, 0.002252898993512587, 0.007401050249426381], [1.247219128924647, 1.699673171197595, 0.9428090415820634, 1.4142135623730951, 9.463379711052259], [36.68763152954432, 46.86482842453883, 17.23989691717349, 41.33755833916553, 85.92360133211845]], [[0.910378987128437, 1.2876524223466495, 1.6625131978736114, 5.368305768561641, 15.973489911353775], [4.111711414037298, 6.373774391990981, 3.580287499678722, 5.050762722761054, 27.298210704958443], [4.96883705931064, 7.159962823714001, 2.6322520271924317, 6.183538195046566, 11.662938237411964]]]"
JBL137_met+,"[[[0.04619999974966049, 0.04859999939799309, 0.060933334132035576, 0.6537666718165079, 0.6860666473706564], [67.66666666666667, 61.333333333333336, 85.66666666666667, 3726.0, 4346.333333333333], [1463.9146876617058, 1261.8818664336002, 1405.5307172416508, 5699.171394859067, 6335.287510590265]], [[0.0004966558872999587, 0.0006377044954368285, 0.0015369535183561009, 0.0009876910523919, 0.0026042769540547397], [4.109609335312651, 1.699673171197595, 3.0912061651652345, 93.38450977901348, 13.912424503139471], [73.93575725699978, 25.54882775405761, 15.217298700168067, 137.9974259819239, 40.05337278738202]], [[1.0750127488985721, 1.312149183819048, 2.5223525681783605, 0.15107699657548684, 0.37959532999244394], [6.073314288639386, 2.771206257387383, 3.6084118659516355, 2.506293874906427, 0.32009566308319976], [5.0505509562921675, 2.0246608207680414, 1.0826727949448138, 2.4213594647531456, 0.6322265993520821]]]"
JBL137_met-,"[[[0.04660000031193098, 0.04896666730443636, 0.05986666679382324, 0.5929666757583618, 0.6385666728019714], [73.66666666666667, 64.0, 88.0, 5615.0, 6850.666666666667], [1581.011518230338, 1308.0755367967004, 1470.4994466355963, 9463.45609999593, 10684.633968007473]], [[0.000355902352724076, 0.0007408702737510701, 0.0010873003328144653, 0.03743307692008902, 0.06690437469732015], [5.436502143433364, 6.683312551921141, 5.354126134736337, 409.1804817762776, 995.9335096057144], [118.99179499800746, 146.3542008602731, 95.55812267809533, 99.52668772495062, 492.0947828457081]], [[0.7637389492311966, 1.5130093889071914, 1.816203224674349, 6.312846648964683, 10.477273172392469], [7.379867163031715, 10.442675862376783, 6.084234244018565, 7.287274831278319, 14.537760455513544], [7.52630791274675, 11.188512952292854, 6.498344688039555, 1.0516949270255866, 4.605630705919976]]]"
JBL131_met+,"[[[0.0467999999721845, 0.057633332908153534, 0.11856666455666225, 0.6040666699409485, 0.5971999963124593], [58.666666666666664, 51.0, 58.333333333333336, 116.0, 124.33333333333333], [1253.480886831166, 883.8346054213736, 491.93043554537644, 191.9655584313865, 208.13331544955386]], [[0.00021602489780458617, 0.0015173067253178392, 0.00709005562181337, 0.005778881400600566, 0.004104489455901217], [4.4969125210773475, 3.7416573867739413, 4.109609335312651, 6.48074069840786, 6.128258770283411], [95.16879139602476, 42.99741950775397, 16.54945173526652, 9.325356347167684, 8.828187160035469]], [[0.4615916622499576, 2.632689537035575, 5.9798052414851215, 0.956662846696291, 0.6872889285407361], [7.665191797290934, 7.336583111321454, 7.045044574821688, 5.586845429661948, 4.928894453311054], [7.592360792721306, 4.864871690247372, 3.364185368388326, 4.85782784337369, 4.241602138978656]]]"
JBL131_met-,"[[[0.04773333420356115, 0.058599999795357384, 0.09813333302736282, 0.14533333232005438, 0.1427666669090589], [61.333333333333336, 54.0, 64.0, 171.33333333333334, 196.33333333333334], [1284.6634022372336, 921.4073653164459, 651.8747067243253, 1215.1445138266606, 1413.8610665654626]], [[0.0007408706089679323, 0.00021602489780458617, 0.0029936994771790296, 0.02671146116321788, 0.026375786107041336], [1.8856180831641267, 2.160246899469287, 2.943920288775949, 4.496912521077347, 8.9566858950296], [22.23201076311408, 34.22091076009566, 10.331517942146474, 197.33109876920577, 209.6723318481895]], [[1.5521032027816308, 0.3686431716023672, 3.050644857180472, 18.3794458826511, 18.47475091916412], [3.0743773095067284, 4.0004572212394205, 4.59987545121242, 2.624657113469268, 4.561979233461596], [1.7305708813995297, 3.713982766823545, 1.584893206558423, 16.239311170305367, 14.829769119926576]]]"
JBL066_met+,"[[[0.04729999974370003, 0.06336666643619537, 0.1462000012397766, 0.6483666698137919, 0.6569333473841349], [57.333333333333336, 53.666666666666664, 62.666666666666664, 123.33333333333333, 134.33333333333334], [1212.1002823627805, 847.2897751057297, 428.62261485655614, 190.2717274762476, 204.58385427799695]], [[0.0005099025463515708, 0.001405546458639115, 0.0004898940746643378, 0.01993160765842651, 0.02122016685733107], [2.0548046676563256, 0.4714045207910317, 1.247219128924647, 2.8674417556808756, 3.0912061651652345], [40.501409636394044, 18.123760749273043, 7.684496448477466, 2.2029508828685542, 4.425895784381981]], [[1.0780180742379086, 2.2181164604175225, 0.33508486354995487, 3.0741258899305826, 3.230185671320899], [3.5839616296331265, 0.8783935170019224, 1.9902432908372027, 2.3249527748763854, 2.3011460286589833], [3.341423991540001, 2.1390274356859145, 1.7928350446579162, 1.1577920230653067, 2.1633651394444313]]]"
JBL066_met-,"[[[0.04716666663686434, 0.06006666645407677, 0.08516666541496913, 0.12160000205039978, 0.12000000228484471], [57.333333333333336, 49.666666666666664, 61.666666666666664, 169.0, 198.33333333333334], [1215.531080554553, 826.9832889665225, 724.044052429632, 1433.059849756669, 1680.0109763299743]], [[0.00024944340204662653, 0.000865384395884801, 0.0009285597807899007, 0.025034911232884947, 0.02117561623642308], [2.0548046676563256, 1.699673171197595, 1.699673171197595, 12.027745701779143, 24.30820620467271], [42.74053954644351, 29.461861557055073, 17.102937268729633, 230.77492325017943, 239.37372473098802]], [[0.5288552696909633, 1.440706546527632, 1.0902854729201297, 20.587920074630166, 17.646346527692888], [3.5839616296331265, 3.422160747377708, 2.756226764104208, 7.117009290993575, 12.256238422524056], [3.516202936328399, 3.562570362682109, 2.3621404265856913, 16.10364865705815, 14.24834290391994]]]"
JBL001_met+,"[[[0.04743333285053571, 0.06726666788260142, 0.1933333327372869, 0.6729333400726318, 0.7212000091870626], [56.333333333333336, 52.333333333333336, 62.333333333333336, 115.0, 125.0], [1186.0469425339247, 775.9677175809284, 325.0343656832786, 171.15806511974395, 173.28898964889086]], [[0.0011085520709534758, 0.003796782649155356, 0.024067173948251617, 0.02872054188544457, 0.0014165792790800976], [5.734883511361751, 5.436502143433364, 3.8586123009300755, 11.430952132988164, 13.366625103842281], [100.04234750614164, 40.42655763712901, 21.662354500199008, 18.525969366159092, 18.195530104706638]], [[2.3370739611457765, 5.644374500282623, 12.448538287474491, 4.26796239317622, 0.19641975333262504], [10.180266588216126, 10.388220656242096, 6.190287113791565, 9.939958376511447, 10.693300083073826], [8.434939960504988, 5.209824677134559, 6.664635123938659, 10.823895066351756, 10.50010744570297]]]"
